CPU Scheduling Simulator Run Log
Timestamp: 2026-03-31 18:44:18
Run Type: Run Simulation
Quantum: 4

Input Process Data
PID | Arrival | Burst | Priority
  1 |       2 |     2 |        2
  2 |       6 |     4 |        2
  3 |       5 |     8 |        1
  4 |       8 |     8 |        3
  5 |       5 |     7 |        1
  6 |       4 |     7 |        2
  7 |       0 |     6 |        1
  8 |       8 |     7 |        2
  9 |       2 |     5 |        3
 10 |       0 |     1 |        3
 11 |       5 |     5 |        1
 12 |       1 |     4 |        1
 13 |       9 |     1 |        1
 14 |       6 |     9 |        2
 15 |       7 |     4 |        2
 16 |       8 |     6 |        1
 17 |       6 |     3 |        3
 18 |       4 |     9 |        2
 19 |       9 |     8 |        1
 20 |       4 |     8 |        3
 21 |       0 |     4 |        2
 22 |       7 |     3 |        2
 23 |       1 |     2 |        1
 24 |       8 |     4 |        3
 25 |       3 |     5 |        3
 26 |       7 |     3 |        2
 27 |       3 |     1 |        2
 28 |       5 |     5 |        3
 29 |       5 |     1 |        2
 30 |       2 |     4 |        2

Comparison Summary
Algorithm | AvgWaiting | AvgTurnaround | AvgResponse | CPUUtil(%) | Throughput
First Come, First Served |     61.267 |        66.067 |      61.267 |    100.000 |      0.208
Priority                 |     68.133 |        72.933 |      59.567 |    100.000 |      0.208
Round Robin              |     75.567 |        80.367 |      44.367 |    100.000 |      0.208
Shortest Job First       |     44.167 |        48.967 |      44.167 |    100.000 |      0.208

Per-Process Results - First Come, First Served
PID | Name | Arrival | Burst | Completion | Waiting | Turnaround | Response
 13 | P13  |       9 |     1 |         29 |      19 |         20 |       19
 14 | P14  |       6 |     9 |        105 |      90 |         99 |       65
 15 | P15  |       7 |     4 |         79 |      68 |         72 |       68
 16 | P16  |       8 |     6 |         43 |      29 |         35 |       16
 17 | P17  |       6 |     3 |        125 |     116 |        119 |      116
 18 | P18  |       4 |     9 |        104 |      91 |        100 |       58
 19 | P19  |       9 |     8 |         47 |      30 |         38 |       20
 20 | P20  |       4 |     8 |        139 |     127 |        135 |      110
 21 | P21  |       0 |     4 |         51 |      47 |         51 |       47
 22 | P22  |       7 |     3 |         82 |      72 |         75 |       72
 23 | P23  |       1 |     2 |         12 |       9 |         11 |        9
 24 | P24  |       8 |     4 |        133 |     121 |        125 |      121
 25 | P25  |       3 |     5 |        135 |     127 |        132 |      107
 26 | P26  |       7 |     3 |         85 |      75 |         78 |       75
 27 | P27  |       3 |     1 |         58 |      54 |         55 |       54
 28 | P28  |       5 |     5 |        140 |     130 |        135 |      113
 29 | P29  |       5 |     1 |         67 |      61 |         62 |       61
 30 | P30  |       2 |     4 |         57 |      51 |         55 |       51

Per-Process Results - Round Robin
PID | Name | Arrival | Burst | Completion | Waiting | Turnaround | Response
  1 | P1   |       2 |     2 |         17 |      13 |         15 |       13
  2 | P2   |       6 |     4 |         65 |      55 |         59 |       55
  3 | P3   |       5 |     8 |        120 |     107 |        115 |       39
  4 | P4   |       8 |     8 |        133 |     117 |        125 |       74
  5 | P5   |       5 |     7 |        123 |     111 |        118 |       43
  6 | P6   |       4 |     7 |        108 |      97 |        104 |       26
  7 | P7   |       0 |     6 |         44 |      38 |         44 |        0
  8 | P8   |       8 |     7 |        136 |     121 |        128 |       78
  9 | P9   |       2 |     5 |        104 |      97 |        102 |       15
 10 | P10  |       0 |     1 |          5 |       4 |          5 |        4
 11 | P11  |       5 |     5 |        124 |     114 |        119 |       47
 12 | P12  |       1 |     4 |         13 |       8 |         12 |        8
 13 | P13  |       9 |     1 |         99 |      89 |         90 |       89
 14 | P14  |       6 |     9 |        144 |     129 |        138 |       59
 15 | P15  |       7 |     4 |         76 |      65 |         69 |       65
 16 | P16  |       8 |     6 |        138 |     124 |        130 |       82
 17 | P17  |       6 |     3 |         72 |      63 |         66 |       63
 18 | P18  |       4 |     9 |        143 |     130 |        139 |       30
 19 | P19  |       9 |     8 |        142 |     125 |        133 |       90
 20 | P20  |       4 |     8 |        116 |     104 |        112 |       34
 21 | P21  |       0 |     4 |          9 |       5 |          9 |        5
 22 | P22  |       7 |     3 |         79 |      69 |         72 |       69
 23 | P23  |       1 |     2 |         15 |      12 |         14 |       12
 24 | P24  |       8 |     4 |         98 |      86 |         90 |       86
 25 | P25  |       3 |     5 |        105 |      97 |        102 |       22
 26 | P26  |       7 |     3 |         82 |      72 |         75 |       72
 27 | P27  |       3 |     1 |         30 |      26 |         27 |       26
 28 | P28  |       5 |     5 |        125 |     115 |        120 |       51
 29 | P29  |       5 |     1 |         61 |      55 |         56 |       55
 30 | P30  |       2 |     4 |         25 |      19 |         23 |       19

Per-Process Results - Shortest Job First
PID | Name | Arrival | Burst | Completion | Waiting | Turnaround | Response
  1 | P1   |       2 |     2 |          6 |       2 |          4 |        2
  2 | P2   |       6 |     4 |         33 |      23 |         27 |       23
  3 | P3   |       5 |     8 |        102 |      89 |         97 |       89
  4 | P4   |       8 |     8 |        126 |     110 |        118 |      110
  5 | P5   |       5 |     7 |         80 |      68 |         75 |       68
  6 | P6   |       4 |     7 |         87 |      76 |         83 |       76
  7 | P7   |       0 |     6 |         67 |      61 |         67 |       61
  8 | P8   |       8 |     7 |         94 |      79 |         86 |       79
  9 | P9   |       2 |     5 |         51 |      44 |         49 |       44
 10 | P10  |       0 |     1 |          1 |       0 |          1 |        0
 11 | P11  |       5 |     5 |         46 |      36 |         41 |       36
 12 | P12  |       1 |     4 |         21 |      16 |         20 |       16
 13 | P13  |       9 |     1 |         11 |       1 |          2 |        1
 14 | P14  |       6 |     9 |        144 |     129 |        138 |      129
 15 | P15  |       7 |     4 |         37 |      26 |         30 |       26
 16 | P16  |       8 |     6 |         73 |      59 |         65 |       59
 17 | P17  |       6 |     3 |         17 |       8 |         11 |        8
 18 | P18  |       4 |     9 |        135 |     122 |        131 |      122
 19 | P19  |       9 |     8 |        110 |      93 |        101 |       93
 20 | P20  |       4 |     8 |        118 |     106 |        114 |      106
 21 | P21  |       0 |     4 |         25 |      21 |         25 |       21
 22 | P22  |       7 |     3 |         10 |       0 |          3 |        0
 23 | P23  |       1 |     2 |          3 |       0 |          2 |        0
 24 | P24  |       8 |     4 |         41 |      29 |         33 |       29
 25 | P25  |       3 |     5 |         56 |      48 |         53 |       48
 26 | P26  |       7 |     3 |         14 |       4 |          7 |        4
 27 | P27  |       3 |     1 |          4 |       0 |          1 |        0
 28 | P28  |       5 |     5 |         61 |      51 |         56 |       51
 29 | P29  |       5 |     1 |          7 |       1 |          2 |        1
 30 | P30  |       2 |     4 |         29 |      23 |         27 |       23

