CPU Scheduling Simulator Run Log
Timestamp: 2026-03-31 18:43:49
Run Type: Run Simulation
Quantum: 4

Input Process Data
PID | Arrival | Burst | Priority
  1 |       0 |     6 |        1
  2 |       0 |     6 |        2
  3 |       2 |     8 |        2
  4 |       1 |     1 |        3
  5 |       3 |     3 |        1
  6 |       1 |     2 |        3
  7 |       7 |     1 |        3
  8 |       2 |     8 |        2
  9 |       2 |     7 |        2
 10 |       9 |     5 |        1
 11 |       0 |     7 |        2
 12 |       1 |     8 |        3
 13 |       8 |     4 |        2
 14 |       0 |     6 |        2
 15 |       1 |     1 |        2
 16 |       0 |     3 |        2
 17 |       2 |     7 |        3
 18 |       5 |     5 |        3
 19 |       6 |     5 |        2
 20 |       6 |     2 |        1
 21 |       8 |     9 |        1
 22 |       8 |     3 |        2
 23 |       0 |     2 |        1
 24 |       9 |     4 |        3
 25 |       9 |     2 |        2
 26 |       4 |     8 |        3
 27 |       6 |     9 |        3
 28 |       6 |     4 |        2
 29 |       8 |     6 |        2
 30 |       2 |     1 |        2
 31 |       6 |     5 |        3
 32 |       5 |     6 |        1
 33 |       5 |     7 |        2
 34 |       0 |     3 |        1
 35 |       2 |     7 |        2
 36 |       0 |     1 |        1
 37 |       3 |     3 |        3
 38 |       5 |     2 |        3
 39 |       3 |     4 |        1
 40 |       5 |     2 |        2

Comparison Summary
Algorithm | AvgWaiting | AvgTurnaround | AvgResponse | CPUUtil(%) | Throughput
First Come, First Served |     85.925 |        90.500 |      85.925 |    100.000 |      0.219
Priority                 |     90.550 |        95.125 |      74.425 |    100.000 |      0.219
Round Robin              |    102.975 |       107.550 |      58.300 |    100.000 |      0.219
Shortest Job First       |     57.250 |        61.825 |      57.250 |    100.000 |      0.219

Per-Process Results - First Come, First Served
PID | Name | Arrival | Burst | Completion | Waiting | Turnaround | Response
 30 | P30  |       2 |     1 |         77 |      74 |         75 |       74
 31 | P31  |       6 |     5 |        149 |     138 |        143 |      138
 32 | P32  |       5 |     6 |        113 |     102 |        108 |      102
 33 | P33  |       5 |     7 |        120 |     108 |        115 |      108
 34 | P34  |       0 |     3 |         33 |      30 |         33 |       30
 35 | P35  |       2 |     7 |         84 |      75 |         82 |       75
 36 | P36  |       0 |     1 |         34 |      33 |         34 |       33
 37 | P37  |       3 |     3 |         90 |      84 |         87 |       84
 38 | P38  |       5 |     2 |        122 |     115 |        117 |      115
 39 | P39  |       3 |     4 |         94 |      87 |         91 |       87
 40 | P40  |       5 |     2 |        124 |     117 |        119 |      117

Per-Process Results - Priority
PID | Name | Arrival | Burst | Completion | Waiting | Turnaround | Response
  1 | P1   |       0 |     6 |         12 |       6 |         12 |        0
  2 | P2   |       0 |     6 |        103 |      97 |        103 |       41
  3 | P3   |       2 |     8 |        112 |     102 |        110 |       55
  4 | P4   |       1 |     1 |        129 |     127 |        128 |      127
  5 | P5   |       3 |     3 |         15 |       9 |         12 |        9
  6 | P6   |       1 |     2 |        131 |     128 |        130 |      128
  7 | P7   |       7 |     1 |        161 |     153 |        154 |      153
  8 | P8   |       2 |     8 |        116 |     106 |        114 |       59
  9 | P9   |       2 |     7 |        119 |     110 |        117 |       63
 10 | P10  |       9 |     5 |         40 |      26 |         31 |       20
 11 | P11  |       0 |     7 |        106 |      99 |        106 |       45
 12 | P12  |       1 |     8 |        169 |     160 |        168 |      130
 13 | P13  |       8 |     4 |         92 |      80 |         84 |       80
 14 | P14  |       0 |     6 |        108 |     102 |        108 |       49
 15 | P15  |       1 |     1 |         57 |      55 |         56 |       55
 16 | P16  |       0 |     3 |         56 |      53 |         56 |       53
 17 | P17  |       2 |     7 |        172 |     163 |        170 |      133
 18 | P18  |       5 |     5 |        177 |     167 |        172 |      141
 19 | P19  |       6 |     5 |        126 |     115 |        120 |       74
 20 | P20  |       6 |     2 |         25 |      17 |         19 |       17
 21 | P21  |       8 |     9 |         41 |      24 |         33 |       17
 22 | P22  |       8 |     3 |         95 |      84 |         87 |       84
 23 | P23  |       0 |     2 |          6 |       4 |          6 |        4
 24 | P24  |       9 |     4 |        165 |     152 |        156 |      152
 25 | P25  |       9 |     2 |        101 |      90 |         92 |       90
 26 | P26  |       4 |     8 |        176 |     164 |        172 |      138
 27 | P27  |       6 |     9 |        183 |     168 |        177 |      146
 28 | P28  |       6 |     4 |         88 |      78 |         82 |       78
 29 | P29  |       8 |     6 |        128 |     114 |        120 |       87
 30 | P30  |       2 |     1 |         70 |      67 |         68 |       67
 31 | P31  |       6 |     5 |        182 |     171 |        176 |      150
 32 | P32  |       5 |     6 |         35 |      24 |         30 |       14
 33 | P33  |       5 |     7 |        125 |     113 |        120 |       69
 34 | P34  |       0 |     3 |          9 |       6 |          9 |        6
 35 | P35  |       2 |     7 |        122 |     113 |        120 |       68
 36 | P36  |       0 |     1 |         10 |       9 |         10 |        9
 37 | P37  |       3 |     3 |        142 |     136 |        139 |      136
 38 | P38  |       5 |     2 |        152 |     145 |        147 |      145
 39 | P39  |       3 |     4 |         19 |      12 |         16 |       12
 40 | P40  |       5 |     2 |         80 |      73 |         75 |       73

Per-Process Results - Round Robin
PID | Name | Arrival | Burst | Completion | Waiting | Turnaround | Response
  1 | P1   |       0 |     6 |         70 |      64 |         70 |        0
  2 | P2   |       0 |     6 |        122 |     116 |        122 |        4
  3 | P3   |       2 |     8 |        145 |     135 |        143 |       31
  4 | P4   |       1 |     1 |         26 |      24 |         25 |       24
  5 | P5   |       3 |     3 |         57 |      51 |         54 |       51
  6 | P6   |       1 |     2 |         28 |      25 |         27 |       25
  7 | P7   |       7 |     1 |        105 |      97 |         98 |       97
  8 | P8   |       2 |     8 |        149 |     139 |        147 |       35
  9 | P9   |       2 |     7 |        152 |     143 |        150 |       39
 10 | P10  |       9 |     5 |        181 |     167 |        172 |      113
 11 | P11  |       0 |     7 |        135 |     128 |        135 |        8
 12 | P12  |       1 |     8 |        141 |     132 |        140 |       27
 13 | P13  |       8 |     4 |        109 |      97 |        101 |       97
 14 | P14  |       0 |     6 |        137 |     131 |        137 |       12
 15 | P15  |       1 |     1 |         33 |      31 |         32 |       31
 16 | P16  |       0 |     3 |         19 |      16 |         19 |       16
 17 | P17  |       2 |     7 |        155 |     146 |        153 |       43
 18 | P18  |       5 |     5 |        163 |     153 |        158 |       65
 19 | P19  |       6 |     5 |        169 |     158 |        163 |       80
 20 | P20  |       6 |     2 |         92 |      84 |         86 |       84
 21 | P21  |       8 |     9 |        183 |     166 |        175 |      101
 22 | P22  |       8 |     3 |        116 |     105 |        108 |      105
 23 | P23  |       0 |     2 |         21 |      19 |         21 |       19
 24 | P24  |       9 |     4 |        130 |     117 |        121 |      117
 25 | P25  |       9 |     2 |        132 |     121 |        123 |      121
 26 | P26  |       4 |     8 |        162 |     150 |        158 |       60
 27 | P27  |       6 |     9 |        182 |     167 |        176 |       86
 28 | P28  |       6 |     4 |        100 |      90 |         94 |       90
 29 | P29  |       8 |     6 |        180 |     166 |        172 |      108
 30 | P30  |       2 |     1 |         50 |      47 |         48 |       47
 31 | P31  |       6 |     5 |        174 |     163 |        168 |       94
 32 | P32  |       5 |     6 |        165 |     154 |        160 |       69
 33 | P33  |       5 |     7 |        168 |     156 |        163 |       73
 34 | P34  |       0 |     3 |         24 |      21 |         24 |       21
 35 | P35  |       2 |     7 |        158 |     149 |        156 |       48
 36 | P36  |       0 |     1 |         25 |      24 |         25 |       24
 37 | P37  |       3 |     3 |         60 |      54 |         57 |       54
 38 | P38  |       5 |     2 |         84 |      77 |         79 |       77
 39 | P39  |       3 |     4 |         64 |      57 |         61 |       57
 40 | P40  |       5 |     2 |         86 |      79 |         81 |       79

Per-Process Results - Shortest Job First
PID | Name | Arrival | Burst | Completion | Waiting | Turnaround | Response
  1 | P1   |       0 |     6 |         74 |      68 |         74 |       68
  2 | P2   |       0 |     6 |         86 |      80 |         86 |       80
  3 | P3   |       2 |     8 |        141 |     131 |        139 |      131
  4 | P4   |       1 |     1 |          4 |       2 |          3 |        2
  5 | P5   |       3 |     3 |         23 |      17 |         20 |       17
  6 | P6   |       1 |     2 |         15 |      12 |         14 |       12
  7 | P7   |       7 |     1 |          9 |       1 |          2 |        1
  8 | P8   |       2 |     8 |        149 |     139 |        147 |      139
  9 | P9   |       2 |     7 |        112 |     103 |        110 |      103
 10 | P10  |       9 |     5 |         53 |      39 |         44 |       39
 11 | P11  |       0 |     7 |        105 |      98 |        105 |       98
 12 | P12  |       1 |     8 |        157 |     148 |        156 |      148
 13 | P13  |       8 |     4 |         44 |      32 |         36 |       32
 14 | P14  |       0 |     6 |         92 |      86 |         92 |       86
 15 | P15  |       1 |     1 |          2 |       0 |          1 |        0
 16 | P16  |       0 |     3 |         26 |      23 |         26 |       23
 17 | P17  |       2 |     7 |        133 |     124 |        131 |      124
 18 | P18  |       5 |     5 |         63 |      53 |         58 |       53
 19 | P19  |       6 |     5 |         58 |      47 |         52 |       47
 20 | P20  |       6 |     2 |          8 |       0 |          2 |        0
 21 | P21  |       8 |     9 |        174 |     157 |        166 |      157
 22 | P22  |       8 |     3 |         29 |      18 |         21 |       18
 23 | P23  |       0 |     2 |          6 |       4 |          6 |        4
 24 | P24  |       9 |     4 |         48 |      35 |         39 |       35
 25 | P25  |       9 |     2 |         13 |       2 |          4 |        2
 26 | P26  |       4 |     8 |        165 |     153 |        161 |      153
 27 | P27  |       6 |     9 |        183 |     168 |        177 |      168
 28 | P28  |       6 |     4 |         40 |      30 |         34 |       30
 29 | P29  |       8 |     6 |         98 |      84 |         90 |       84
 30 | P30  |       2 |     1 |          3 |       0 |          1 |        0
 31 | P31  |       6 |     5 |         68 |      57 |         62 |       57
 32 | P32  |       5 |     6 |         80 |      69 |         75 |       69
 33 | P33  |       5 |     7 |        126 |     114 |        121 |      114
 34 | P34  |       0 |     3 |         20 |      17 |         20 |       17
 35 | P35  |       2 |     7 |        119 |     110 |        117 |      110
 36 | P36  |       0 |     1 |          1 |       0 |          1 |        0
 37 | P37  |       3 |     3 |         32 |      26 |         29 |       26
 38 | P38  |       5 |     2 |         17 |      10 |         12 |       10
 39 | P39  |       3 |     4 |         36 |      29 |         33 |       29
 40 | P40  |       5 |     2 |         11 |       4 |          6 |        4

